,last_price,total_area,first_day_exposition,rooms,ceiling_height,floors_total,living_area,floor,is_apartment,studio,kitchen_area,balcony,locality_name,days_exposition
0,7312500.0,108.0,2024-05-15,3,2.7,16.0,51.0,8,,False,25.0,,Kyiv,
1,1884375.0,40.4,2024-08-14,1,,11.0,18.6,1,,False,11.0,2.0,Brovary,81.0
2,2922750.0,56.0,2023-11-06,2,,5.0,34.3,4,,False,8.3,0.0,Kyiv,558.0
3,36506250.0,159.0,2024-03-19,3,,14.0,,9,,False,,0.0,Kyiv,424.0
4,5625000.0,100.0,2024-06-12,2,3.03,14.0,32.0,13,,False,41.0,,Kyiv,121.0
5,1625625.0,30.4,2024-10-08,1,,12.0,14.4,5,,False,9.1,,Boyarka,55.0
6,2081250.0,37.3,2024-03-24,1,,26.0,10.6,6,,False,14.4,1.0,Hostomel,155.0
7,4452188.0,71.6,2024-11-16,2,,24.0,,22,,False,18.9,2.0,Kyiv,
8,1631250.0,33.16,2024-03-09,1,,27.0,15.43,26,,False,8.81,,Bucha,189.00000000000003
9,3037500.0,61.0,2024-03-10,3,2.5,9.0,43.6,7,,False,6.5,2.0,Kyiv,289.0
10,2840625.0,39.6,2024-04-15,1,2.67,12.0,20.3,3,,False,8.5,,Kyiv,137.0
11,1856250.0,44.0,2024-05-22,2,,5.0,31.0,4,False,False,6.0,1.0,Boryspil,7.0
12,2188125.0,54.0,2023-12-27,2,,5.0,30.0,5,,False,9.0,0.0,Irpin,90.00000000000001
13,1996875.0,42.8,2024-05-16,2,2.56,5.0,27.0,5,,False,5.2,1.0,Vyshneve,366.00000000000006
14,2475000.0,36.0,2024-04-07,1,,6.0,17.0,1,,False,8.0,0.0,Hostomel,203.0
15,2615625.0,39.0,2023-12-28,1,,14.0,20.5,5,,False,7.6,1.0,Kyiv,19.0
16,3768750.0,82.0,2024-04-15,3,3.05,5.0,55.6,1,,False,9.0,,Kyiv,397.0
17,2351250.0,36.0,2023-10-24,1,,17.0,16.5,7,,False,11.0,1.0,Kyiv,571.0
18,1828125.0,31.0,2023-09-04,1,2.5,5.0,19.4,2,,False,5.6,1.0,Kyiv,168.0
19,7987500.0,121.0,2023-10-02,3,2.75,16.0,76.0,8,,False,12.0,,Kyiv,97.0
20,3442500.0,80.0,2023-11-23,3,2.7,27.0,48.0,11,,False,12.0,2.0,Hostomel,74.0
21,1800000.0,31.6,2023-05-29,1,,5.0,16.9,2,,False,5.7,1.0,Kyiv,310.0
22,2812500.0,58.0,2024-03-04,2,2.75,25.0,30.0,15,,False,11.0,2.0,Irpin,60.0
23,1659375.0,32.0,2023-09-10,1,2.6,9.0,17.7,9,,False,6.1,,Kyiv,615.0
24,3656250.0,97.2,2023-06-13,2,,3.0,46.5,1,,False,19.6,0.0,Kyiv,265.0
25,3825000.0,76.0,2024-02-09,2,2.75,23.0,39.0,18,False,False,15.0,2.0,Kyiv,300.0
26,2278125.0,60.0,2023-12-16,4,,5.0,43.0,4,,False,7.0,,Kyiv,265.0
27,3993750.0,70.0,2023-10-08,3,2.6,17.0,49.0,11,,False,9.2,0.0,Kyiv,151.0
28,2345625.0,44.0,2023-12-16,1,2.9,6.0,20.8,1,,False,11.7,1.0,Irpin,74.0
29,4837500.0,100.0,2024-02-06,3,,19.0,52.0,15,False,False,11.0,0.0,Kyiv,125.0
30,1237500.0,32.8,2023-12-20,1,,9.0,,2,,False,,,Hostomel,63.0
31,4050000.0,67.9,2024-09-02,2,2.8,16.0,38.1,4,,False,13.4,2.0,Kyiv,112.0
32,2806875.0,60.0,2023-12-22,3,,5.0,39.0,4,,False,6.0,0.0,Kyiv,224.0
33,2700000.0,73.0,2023-12-28,4,,9.0,51.6,5,,False,6.5,,Boryspil,92.0
34,1850625.0,33.0,2024-08-21,1,2.55,16.0,14.0,3,,False,8.0,,Kyiv,15.0
35,8718750.0,149.0,2023-08-12,5,,5.0,104.0,4,,False,17.0,,Kyiv,644.0
36,2131875.0,45.0,2024-04-23,2,,9.0,27.0,9,False,False,6.3,2.0,Kyiv,139.0
37,1119375.0,45.8,2023-07-23,2,2.5,5.0,,1,,False,,,Brovary,196.0
38,1771875.0,40.0,2024-08-20,1,2.75,18.0,16.3,9,,False,11.6,,Hostomel,103.0
39,2925000.0,54.4,2024-07-15,2,2.75,9.0,29.7,2,,False,8.8,2.0,Kyiv,29.0
40,2019375.0,36.0,2024-03-13,1,2.6,26.0,15.0,22,,False,10.0,2.0,Bucha,430.0
41,4443750.0,74.0,2023-11-24,3,,14.0,59.0,8,False,False,12.0,5.0,Kyiv,179.00000000000003
42,12375000.0,161.8,2022-09-03,4,2.8,4.0,80.9,2,False,False,17.6,5.0,Borshchahivka,987.0
43,5248125.0,48.0,2023-04-15,2,3.0,4.0,28.0,4,,False,7.5,,Kyiv,763.0000000000001
44,3009375.0,40.0,2024-09-01,1,,22.0,,3,,False,,1.0,Kyiv,
45,2925000.0,50.6,2024-05-10,2,2.65,9.0,30.3,7,,False,7.0,,Kyiv,
46,3712500.0,52.1,2024-12-17,2,2.6,24.0,29.7,9,,False,8.3,2.0,Kyiv,
